,recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
111571455,111571455,"{'steamid': '76561199088624970', 'num_games_owned': 9, 'num_reviews': 5, 'playtime_forever': 325, 'playtime_last_two_weeks': 0, 'playtime_at_review': 260, 'last_played': 1646614323}",brazilian,"O jogo é sensacional, principalmente os efeitos sonoros que são extremamente bem feitos tornando o ambiente amedrontador, essa conquista de vencer o modo clássico sem caminhar pra frente...difícil viu, aliás, compra aí, vale a pena demaaaais",1646458669,1646458669,True,0,0,0,0,True,False,False
110009407,110009407,"{'steamid': '76561198045569766', 'num_games_owned': 23, 'num_reviews': 5, 'playtime_forever': 323, 'playtime_last_two_weeks': 0, 'playtime_at_review': 242, 'last_played': 1646087967}",brazilian,Mó hype.,1644617413,1644617413,True,0,0,0,0,True,False,False
109893960,109893960,"{'steamid': '76561198886643412', 'num_games_owned': 71, 'num_reviews': 14, 'playtime_forever': 55, 'playtime_last_two_weeks': 0, 'playtime_at_review': 32, 'last_played': 1644547078}",brazilian,"Esse jogo é simplesmente iNCRIVEL, OLHA ESSE PREÇO CARA, ESSE JOGO ME BOTOU MAIS MEDO ATÉ QUE RE: VILLAGE EM 10 MINUTOS DE JOGO. O custo benefício em ''terror'' esse jogo supera até mesmo Outlast e eu sou fã da saga, eu to abismado nunca ter visto nada sobre ele, eu achei ele enquanto procurava na categoria Remote Play Together, algo totalmente aleatório, de fato esse jogo não tem a visibilidade que deveria!",1644453640,1644453640,True,0,0,0,0,True,False,False
107254316,107254316,"{'steamid': '76561198318120050', 'num_games_owned': 12, 'num_reviews': 4, 'playtime_forever': 27, 'playtime_last_two_weeks': 0, 'playtime_at_review': 22, 'last_played': 1645926642}",brazilian,Dá um medo do caralho mas é muito bom.,1641246481,1641246481,True,0,0,0,0,False,True,False
107200037,107200037,"{'steamid': '76561198328512427', 'num_games_owned': 301, 'num_reviews': 46, 'playtime_forever': 357, 'playtime_last_two_weeks': 50, 'playtime_at_review': 125, 'last_played': 1647723602}",brazilian,"TA LOKO, TREMI NESSE JOGO",1641191131,1641191131,True,0,0,0,0,True,False,False
106465307,106465307,"{'steamid': '76561199153352105', 'num_games_owned': 6, 'num_reviews': 2, 'playtime_forever': 144, 'playtime_last_two_weeks': 0, 'playtime_at_review': 61, 'last_played': 1641244679}",brazilian,"Jogo muito bom. Recomendo demais para todos que tem consiência que monstros não existem, porque além de ser o melhor jogo de terror (e jogo normal) que consiga rodar em uma torradeira, da medo.
Também tem varios modos diferentes para quem não gostou de um ou outro.",1640400812,1640400812,True,0,0,0,0,True,False,False
106362759,106362759,"{'steamid': '76561199190580576', 'num_games_owned': 61, 'num_reviews': 22, 'playtime_forever': 5, 'playtime_last_two_weeks': 0, 'playtime_at_review': 5, 'last_played': 1635094822}",brazilian,tomei um apavoro do bicho com 5 minutos de jogo e não consegui mais jogar,1640275259,1640275259,True,0,0,0,0,True,False,False
105426771,105426771,"{'steamid': '76561198971280197', 'num_games_owned': 29, 'num_reviews': 10, 'playtime_forever': 15, 'playtime_last_two_weeks': 0, 'playtime_at_review': 9, 'last_played': 1638908362}",brazilian,da muito medo aaaaaaaaaaaaaaa,1638907813,1638907813,True,0,0,0,0,False,False,False
103280199,103280199,"{'steamid': '76561198427211015', 'num_games_owned': 113, 'num_reviews': 27, 'playtime_forever': 101, 'playtime_last_two_weeks': 0, 'playtime_at_review': 85, 'last_played': 1643683208}",brazilian,"jogo mto bom absolutamente aterrorizante amei nunca mais quero jogar estou traumatizado

joia",1637597928,1637597928,True,0,0,0,0,True,False,False
102000978,102000978,"{'steamid': '76561198234199000', 'num_games_owned': 118, 'num_reviews': 4, 'playtime_forever': 173, 'playtime_last_two_weeks': 0, 'playtime_at_review': 173, 'last_played': 1635727690}",brazilian,"Jogo sensacional! Todos os modos são muito bons, com muito medinho uuuu",1635727818,1635730478,True,0,0,0,0,True,False,False
